,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
count,48895.0,48895.0,48895.0,48895.0,48895.0,48895.0,48895.0,48895.0
mean,390.2244660296554,-759.9360584172206,152.7206871868289,7.029962163820431,23.274465691788528,1.0909099089886491,7.143982002249719,112.78132733408324
std,3754.747048198143,7085.933742065197,240.15416974718758,20.51054953317987,44.55058226668393,1.597282767418371,32.95251884941993,131.62228885171479
min,40.49979,-74142.0,0.0,1.0,0.0,0.0,1.0,0.0
25%,40.69034,-73.98362,69.0,1.0,1.0,0.04,1.0,0.0
50%,40.72363,-73.95601,106.0,3.0,5.0,0.37,1.0,45.0
75%,40.76384,-73.93661,175.0,5.0,24.0,1.58,2.0,227.0
max,40896.0,-73.71299,10000.0,1250.0,629.0,58.5,327.0,365.0
mediana,40.72363,-73.95601,106.0,3.0,5.0,0.37,1.0,45.0
varianza,14098125.39595267,50210456.996938094,57674.02524696099,420.682642153025,1984.7543803005728,2.55131223909169,1085.8684985213758,17324.426922564246
moda,40.71813,-73.95677,100.0,1.0,0.0,0.0,1.0,0.0
